"ID","Gest","Pred","Exp","Danger"
1,645,3,5,3
2,42,3,1,3
3,60,1,1,1
4,25,5,2,3
5,624,3,5,4
6,180,4,4,4
7,35,1,1,1
8,392,4,5,4
9,63,1,2,1
10,230,1,1,1
11,112,5,4,4
12,281,5,5,5
13,NULL,2,1,2
14,365,5,5,5
15,42,1,1,1
16,28,2,2,2
17,42,2,2,2
18,120,2,2,2
19,NULL,1,2,1
20,NULL,1,1,1
21,400,5,5,5
22,148,5,5,5
23,16,3,1,2
24,252,1,4,1
25,310,1,3,1
26,63,1,1,1
27,28,5,1,3
28,68,5,3,4
29,336,5,5,5
30,100,1,1,1
31,33,3,5,4
32,21.5,5,2,4
33,50,1,1,1
34,267,1,1,1
35,30,2,1,1
36,45,3,1,3
37,19,4,1,3
38,30,4,1,3
39,12,2,1,1
40,120,2,1,1
41,440,5,5,5
42,140,2,2,2
43,170,4,4,4
44,17,2,1,2
45,115,4,4,4
46,31,5,5,5
47,63,2,2,2
48,21,3,1,3
49,52,1,1,1
50,164,2,3,2
51,225,2,2,2
52,225,3,2,3
53,150,5,5,5
54,151,5,5,5
55,90,2,2,2
56,NULL,3,1,2
57,60,2,1,2
58,200,3,1,3
59,46,3,2,2
60,210,4,3,4
61,14,2,1,1
62,38,3,1,1
